己丑庚午戊辰戊午|土土金火土土土火
甲戌庚午壬午己酉|木土金火水火土金
辛丑戊戌甲午丁卯|金土土土木火火木
丁酉癸丑辛丑己丑|火金水土金土土土
癸亥癸亥庚午戊寅|水水水水金火土木
丁酉乙巳丙午丙申|火金木火火火火金
庚子甲申甲辰乙亥|金水木金木土木水
癸亥乙卯甲寅乙丑|水水木木木木木土
庚寅丁亥庚戌丁亥|金木火水金土火水
癸亥乙丑庚午甲申|水水木土金火木金
辛巳癸巳丙子癸巳|金火水火火水水火
壬辰癸卯甲戌甲戌|水土水木木土木土
庚辰丁亥癸巳壬戌|金土火水水火水土
丙午庚子癸酉丁巳|火火金水水金火火
壬申己酉甲午庚午|水金土金木火金火
庚戌戊寅丁巳己酉|金土土木火火土金
癸卯壬戌戊寅癸亥|水木水土土木水水
辛酉丁酉辛丑己丑|金金火金金土土土
癸丑乙卯庚戌丙子|水土木木金土火水
戊子戊午癸卯丙辰|土水土火水木火土
乙亥丁亥丁巳丙午|木水火水火火火火
甲午己巳乙亥丙子|木火土火木水火水
戊申丙辰甲辰乙丑|土金火土木土木土
己巳丙寅乙酉丙子|土火火木木金火水
甲子丙寅乙未庚辰|木水火木木土金土
己卯丁卯壬戌乙巳|土木火木水土木火
丙子丁酉庚午丙戌|火水火金金火火土
壬申壬寅壬申庚戌|水金水木水金金土
庚戌己卯甲午乙亥|金土土木木火木水
乙卯乙酉戊辰戊午|木木木金土土土火
庚戌壬午丁卯戊申|金土水火火木土金
乙巳丁亥甲子乙丑|木火火水木水木土
癸亥甲子壬寅癸卯|水水木水水木水木
癸未壬戌辛亥庚寅|水土水土金水金木
庚午甲申癸亥庚申|金火木金水水金金
庚午癸未戊辰癸亥|金火水土土土水水
辛卯辛丑乙丑壬午|金木金土木土水火
庚申丁亥戊子癸丑|金金火水土水水土
丁卯丙午丁酉庚子|火木火火火金金水
戊辰戊午壬辰庚子|土土土火水土金水
辛未乙未戊寅癸亥|金土木土土木水水
庚辰乙酉辛巳甲午|金土木金金火木火
辛丑癸巳戊申癸丑|金土水火土金水土
丙寅癸巳甲子乙亥|火木水火木水木水
庚戌辛巳丙戌甲午|金土金火火土木火
癸巳戊午丁卯辛丑|水火土火火木金土
己巳丁丑乙未甲申|土火火土木土木金
乙未乙酉庚子丁亥|木土木金金水火水
甲午庚午甲子甲子|木火金火木水木水
壬子甲辰辛亥戊戌|水水木土金水土土
丙午辛丑壬午辛亥|火火金土水火金水
庚午戊子癸未甲寅|金火土水水土木木
丙午戊戌庚子癸未|火火土土金水水土
癸巳己未辛未辛卯|水火土土金土金木
丁丑壬子乙未戊寅|火土水水木土土木
癸卯丁巳甲申丙寅|水木火火木金火木
丙辰丙申戊午戊午|火土火金土火土火
己酉庚午甲子甲戌|土金金火木水木土
乙巳戊寅丁酉庚戌|木火土木火金金土
戊申丙辰丙子戊子|土金火土火水土水
辛亥乙未辛卯庚寅|金水木土金木金木
甲戌甲戌辛未戊戌|木土木土金土土土
庚辰乙酉壬午庚戌|金土木金水火金土
丁未壬寅甲子戊辰|火土水木木水土土
壬辰癸卯癸亥乙卯|水土水木水水木木
壬子辛亥乙未丁丑|水水金水木土火土
己未乙亥乙酉丙子|土土木水木金火水
丁巳戊申庚子己卯|火火土金金水土木
癸巳丁巳己卯戊辰|水火火火土木土土
壬子甲辰癸巳丙辰|水水木土水火火土
癸丑庚申癸卯癸亥|水土金金水木水水
庚子戊寅壬申辛亥|金水土木水金金水
甲辰丙寅丁丑庚戌|木土火木火土金土
乙亥甲申庚午丙子|木水木金金火火水
己巳甲戌癸巳甲寅|土火木土水火木木
庚子丙戌辛亥庚寅|金水火土金水金木
庚寅己卯己巳庚午|金木土木土火金火
甲辰辛未乙未辛巳|木土金土木土金火
戊子乙卯甲寅癸酉|土水木木木木水金
辛酉戊戌壬申丙午|金金土土水金火火
辛酉乙未庚申辛巳|金金木土金金金火
丙午己亥辛酉己丑|火火土水金金土土
戊午戊午庚戌丙戌|土火土火金土火土
辛丑丁酉丙戌丙申|金土火金火土火金
辛卯癸巳戊寅辛酉|金木水火土木金金
庚申甲申癸亥壬子|金金木金水水水水
壬戌戊申丁卯甲辰|水土土金火木木土
己卯壬申壬辰辛亥|土木水金水土金水
丁丑丁未壬申乙巳|火土火土水金木火
壬寅乙巳己亥戊辰|水木木火土水土土
己巳癸酉壬午甲辰|土火水金水火木土
壬午辛亥己卯戊辰|水火金水土木土土
乙未辛巳辛巳庚寅|木土金火金火金木
戊戌甲寅丙子丁酉|土土木木火水火金
甲辰丙寅戊辰甲寅|木土火木土土木木
癸卯甲寅甲辰乙丑|水木木木木土木土
辛丑辛卯己卯戊辰|金土金木土木土土
戊子己未辛未甲午|土水土土金土木火
丁巳乙巳己卯丙寅|火火木火土木火木
辛丑辛卯壬戌癸卯|金土金木水土水木
己酉己巳丙午己亥|土金土火火火土水
壬申甲辰己酉乙亥|水金木土土金木水
丁酉己酉己酉乙丑|火金土金土金木土
庚子丙戌戊寅甲寅|金水火土土木木木
丙辰辛丑乙未乙酉|火土金土木土木金
丁未丙午丙申己亥|火土火火火金土水
庚辰壬午己丑戊辰|金土水火土土土土
辛丑庚寅癸未辛酉|金土金木水土金金
甲午丁卯乙酉庚辰|木火火木木金金土
戊申丁巳庚戌辛巳|土金火火金土金火
甲午己巳壬寅乙巳|木火土火水木木火
甲寅丁丑戊戌庚申|木木火土土土金金
乙卯壬午癸巳庚申|木木水火水火金金
甲戌甲戌己卯庚午|木土木土土木金火
庚子丁亥辛丑己亥|金水火水金土土水
丙辰丙申乙未丙戌|火土火金木土火土
己亥己巳丙寅癸巳|土水土火火木水火
丙申戊戌丙戌戊子|火金土土火土土水
己未壬申甲戌癸酉|土土水金木土水金
丁酉甲辰壬子甲辰|火金木土水水木土
丙午己亥丁巳己酉|火火土水火火土金
丙子壬辰乙酉丁亥|火水水土木金火水
甲午庚午癸丑辛酉|木火金火水土金金
丙寅甲午丙申癸巳|火木木火火金水火
庚戌壬午戊寅辛酉|金土水火土木金金
甲申乙亥甲申乙亥|木金木水木金木水
甲子丙子癸卯癸丑|木水火水水木水土
壬子庚戌庚戌癸未|水水金土金土水土
己卯己巳辛亥戊子|土木土火金水土水
戊子甲子壬午甲辰|土水木水水火木土
戊戌甲寅甲戌甲子|土土木木木土木水
己亥庚午己卯丙寅|土水金火土木火木
庚子戊子丁丑丙午|金水土水火土火火
丁卯乙巳庚辰丁亥|火木木火金土火水
庚子乙酉癸亥癸丑|金水木金水水水土
乙酉丁亥壬戌己酉|木金火水水土土金
乙卯甲申乙丑丙子|木木木金木土火水
丙寅戊戌戊辰丁巳|火木土土土土火火
癸丑甲子壬子庚子|水土木水水水金水
甲申丙寅壬子己酉|木金火木水水土金
丁丑戊申壬寅甲辰|火土土金水木木土
癸亥乙卯丁巳庚子|水水木木火火金水
癸卯癸亥甲子壬申|水木水水木水水金
庚戌庚辰丁亥乙巳|金土金土火水木火
壬寅壬寅庚辰己卯|水木水木金土土木
丙戌壬辰癸酉己未|火土水土水金土土
辛卯丁酉戊午戊午|金木火金土火土火
辛卯戊戌壬寅辛丑|金木土土水木金土
乙巳壬午庚戌己卯|木火水火金土土木
丙子戊戌戊戌壬子|火水土土土土水水
庚子丁亥己巳壬申|金水火水土火水金
庚午乙酉乙丑戊寅|金火木金木土土木
庚申戊子癸卯戊午|金金土水水木土火
甲子丙子戊午癸丑|木水火水土火水土
己酉戊辰丁酉丁未|土金土土火金火土
癸酉丙辰庚戌戊寅|水金火土金土土木
辛亥庚子壬午丙午|金水金水水火火火
甲辰辛未丁丑辛亥|木土金土火土金水
癸亥辛酉甲寅丙寅|水水金金木木火木
丙寅甲午甲寅甲戌|火木木火木木木土
丁未戊申辛卯壬辰|火土土金金木水土
辛亥庚寅乙丑丙戌|金水金木木土火土
壬申辛亥癸丑癸丑|水金金水水土水土
丙寅乙未己丑丙寅|火木木土土土火木
壬辰乙巳丙戌甲午|水土木火火土木火
戊午庚申壬子辛亥|土火金金水水金水
癸丑己未乙未庚辰|水土土土木土金土
壬辰乙巳壬戌辛丑|水土木火水土金土
乙卯戊子甲戌甲戌|木木土水木土木土
癸丑戊午己亥戊辰|水土土火土水土土
甲子丙子甲寅乙丑|木水火水木木木土
壬辰乙巳乙未庚辰|水土木火木土金土
乙酉丙戌戊辰壬子|木金火土土土水水
戊辰己未辛卯戊戌|土土土土金木土土
庚戌戊子甲午癸酉|金土土水木火水金
丁卯丙午癸丑庚申|火木火火水土金金
癸酉乙卯乙酉丙戌|水金木木木金火土
戊子甲子己巳癸酉|土水木水土火水金
戊辰甲子辛丑戊子|土土木水金土土水
丁酉乙巳庚子己卯|火金木火金水土木
甲子庚午辛丑庚寅|木水金火金土金木
庚午己丑壬寅乙巳|金火土土水木木火
壬戌壬寅庚戌乙酉|水土水木金土木金
丙戌庚子丁酉己酉|火土金水火金土金
乙酉丙戌甲子丙寅|木金火土木水火木
丙辰戊戌庚辰壬午|火土土土金土水火
甲戌丁丑壬午辛亥|木土火土水火金水
己丑己巳癸亥戊午|土土土火水水土火
壬申甲辰壬寅丙午|水金木土水木火火
丙午壬辰丙子乙未|火火水土火水木土
丁酉辛亥辛亥戊子|火金金水金水土水
辛卯庚寅乙卯戊寅|金木金木木木土木
丁酉丁未壬午壬寅|火金火土水火水木
癸丑庚申庚午戊寅|水土金金金火土木
癸丑辛酉乙巳丁丑|水土金金木火火土
壬辰甲辰壬午壬寅|水土木土水火水木
乙亥庚辰乙亥癸未|木水金土木水水土
戊子癸亥丙寅丙申|土水水水火木火金
甲申癸酉乙未庚辰|木金水金木土金土
甲寅辛未乙未丁丑|木木金土木土火土
壬寅乙巳癸酉甲寅|水木木火水金木木
辛丑甲午癸丑丁巳|金土木火水土火火
己亥丙寅丙申丙申|土水火木火金火金
癸未壬戌壬申癸卯|水土水土水金水木
戊申癸亥庚辰丙戌|土金水水金土火土
丙辰辛卯辛巳戊子|火土金木金火土水
戊寅甲子甲寅乙丑|土木木水木木木土
甲辰丁丑丁未壬寅|木土火土火土水木
辛未乙未癸卯庚申|金土木土水木金金
乙丑甲申庚子丁丑|木土木金金水火土
丙辰甲午甲申丁卯|火土木火木金火木
辛丑戊戌壬子壬寅|金土土土水水水木
甲午丙寅丙辰己亥|木火火木火土土水
乙巳己卯辛未乙未|木火土木金土木土
丙午丙申癸酉戊午|火火火金水金土火
癸巳丙辰己丑己巳|水火火土土土土火
壬戌壬子壬子戊申|水土水水水水土金
己酉乙亥戊寅乙卯|土金木水土木木木
己酉壬申壬子癸卯|土金水金水水水木
丙午乙未丙戌庚寅|火火木土火土金木
己未丁卯戊子丙辰|土土火木土水火土
丁未癸丑辛酉癸巳|火土水土金金水火
壬午癸丑己丑甲戌|水火水土土土木土
乙卯己卯甲戌庚午|木木土木木土金火
己未庚午丁巳庚戌|土土金火火火金土
壬寅庚戌壬戌辛亥|水木金土水土金水
甲戌己巳乙卯戊寅|木土土火木木土木
庚寅癸未辛巳丙申|金木水土金火火金
壬申壬寅壬申辛亥|水金水木水金金水
壬寅壬子庚午丁丑|水木水水金火火土
乙酉壬午庚午戊寅|木金水火金火土木
辛酉己亥庚戌庚辰|金金土水金土金土
丁卯丙午丁酉乙巳|火木火火火金木火
乙巳乙酉辛酉丁酉|木火木金金金火金
辛巳甲午丙申戊子|金火木火火金土水
己未甲戌甲子癸酉|土土木土木水水金
己丑乙亥甲申丙寅|土土木水木金火木
癸巳甲子癸丑庚申|水火木水水土金金
己丑癸酉辛酉己亥|土土水金金金土水
乙丑丙戌甲午庚午|木土火土木火金火
辛丑辛卯丁巳戊申|金土金木火火土金
乙丑壬午庚寅庚辰|木土水火金木金土
己亥庚午己亥甲戌|土水金火土水木土
丁酉壬寅戊子辛酉|火金水木土水金金
辛酉辛卯辛未丙申|金金金木金土火金
甲子丙子壬申庚戌|木水火水水金金土
己卯癸酉癸亥丙辰|土木水金水水火土
乙亥己卯乙酉戊寅|木水土木木金土木
戊子甲寅癸未甲寅|土水木木水土木木
癸未甲子戊申辛酉|水土木水土金金金
丙辰壬辰庚午丙戌|火土水土金火火土
丁亥癸丑辛卯壬辰|火水水土金木水土
壬子壬子乙巳辛巳|水水水水木火金火
辛酉甲午癸巳戊午|金金木火水火土火
己亥丁丑甲戌壬申|土水火土木土水金
壬戌辛亥壬午乙巳|水土金水水火木火
庚申戊寅壬申癸卯|金金土木水金水木
乙丑丁亥癸丑癸亥|木土火水水土水水
壬辰壬子辛酉己丑|水土水水金金土土
己巳丙寅丙辰戊戌|土火火木火土土土
癸卯己未庚午癸未|水木土土金火水土
壬申己酉壬午甲辰|水金土金水火木土
丙辰庚子丁亥庚子|火土金水火水金水
丁酉丙午丙戌辛卯|火金火火火土金木
甲寅壬申甲辰壬申|木木水金木土水金
乙酉庚辰乙巳丙戌|木金金土木火火土
丁亥甲辰己丑辛未|火水木土土土金土
丙子庚子壬寅庚子|火水金水水木金水
己丑乙亥甲寅戊辰|土土木水木木土土
辛丑癸巳丁丑辛丑|金土水火火土金土
丙寅甲午庚申丁丑|火木木火金金火土
庚戌癸未己卯丁卯|金土水土土木火木
丁未乙巳甲子癸酉|火土木火木水水金
甲子丙子甲子丁卯|木水火水木水火木
甲子甲戌戊午丁巳|木水木土土火火火
壬戌辛亥戊戌乙卯|水土金水土土木木
庚戌甲申乙巳丁丑|金土木金木火火土
甲辰丁丑丙戌甲午|木土火土火土木火
壬辰辛亥丙子辛卯|水土金水火水金木
壬申丁未壬午庚戌|水金火土水火金土
己巳戊辰庚寅丙子|土火土土金木火水
壬寅戊申辛酉癸巳|水木土金金金水火
壬寅己酉乙丑丁丑|水木土金木土火土
壬戌壬子己丑甲戌|水土水水土土木土
戊午庚申己丑辛未|土火金金土土金土
壬午癸卯戊辰丁巳|水火水木土土火火
己未己巳癸亥癸丑|土土土火水水水土
乙丑庚辰戊子丁巳|木土金土土水火火
乙卯丙戌丙寅戊子|木木火土火木土水
己卯甲戌丁亥庚戌|土木木土火水金土
丙子戊戌己卯戊辰|火水土土土木土土
戊寅壬戌己丑甲戌|土木水土土土木土
丁巳壬寅己巳己巳|火火水木土火土火
甲午己巳壬午壬寅|木火土火水火水木
乙亥庚辰癸巳庚申|木水金土水火金金
辛未丙申丁未戊申|金土火金火土土金
戊子乙丑乙卯癸未|土水木土木木水土
戊辰甲子丙戌丙申|土土木水火土火金
庚子甲申己丑丁卯|金水木金土土火木
己卯丁卯戊午辛酉|土木火木土火金金
壬申己酉甲辰丙寅|水金土金木土火木
己未壬申丁巳辛亥|土土水金火火金水
戊寅丁巳己亥己巳|土木火火土水土火
丁亥己酉癸酉辛酉|火水土金水金金金
丁酉丁未庚子丁丑|火金火土金水火土
戊寅戊午癸巳丁巳|土木土火水火火火
癸未辛酉戊寅乙卯|水土金金土木木木
庚戌丁亥丁未乙巳|金土火水火土木火
壬午辛亥癸卯癸亥|水火金水水木水水
丁巳壬子壬子辛亥|火火水水水水金水
戊午丁巳乙未丙子|土火火火木土火水
戊寅乙卯乙亥壬午|土木木木木水水火
甲寅癸酉己巳戊辰|木木水金土火土土
己酉戊辰癸未戊午|土金土土水土土火
甲寅丙子辛亥丁酉|木木火水金水火金
戊辰乙卯庚辰乙酉|土土木木金土木金
戊午辛酉乙酉甲申|土火金金木金木金
庚戌癸未丙辰乙未|金土水土火土木土
甲辰丙子丁亥庚戌|木土火水火水金土
丁丑癸丑甲戌戊辰|火土水土木土土土
癸未甲子己酉戊辰|水土木水土金土土
戊子甲子丁卯壬寅|土水木水火木水木
己未癸酉壬子己酉|土土水金水水土金
戊辰壬戌壬寅己酉|土土水土水木土金
甲戌丁丑己亥癸酉|木土火土土水水金
戊午己未乙丑己卯|土火土土木土土木
辛酉庚子乙卯甲申|金金金水木木木金
辛巳戊戌己亥甲戌|金火土土土水木土
壬子丙午辛卯乙未|水水火火金木木土
乙亥乙酉庚申丙子|木水木金金金火水
壬辰癸卯己丑丙寅|水土水木土土火木
庚午戊寅癸亥戊午|金火土木水水土火
癸巳癸亥丁酉乙巳|水火水水火金木火
己亥庚午癸酉辛酉|土水金火水金金金
庚寅戊子己亥辛未|金木土水土水金土
辛未丁酉己丑己巳|金土火金土土土火
壬子戊申丁卯辛亥|水水土金火木金水
己丑己巳庚午庚辰|土土土火金火金土
乙卯辛巳乙卯辛巳|木木金火木木金火
辛卯庚子壬戌庚子|金木金水水土金水
辛酉庚寅己未甲戌|金金金木土土木土
戊戌丁巳己未己巳|土土火火土土土火
己酉丁丑辛卯辛卯|土金火土金木金木
乙丑己丑丁卯辛丑|木土土土火木金土
乙丑甲申庚子乙酉|木土木金金水木金
庚午戊子辛丑丙申|金火土水金土火金
丁酉壬子甲午乙亥|火金水水木火木水
己卯甲戌辛酉己亥|土木木土金金土水
丁未癸卯壬申庚戌|火土水木水金金土
丙子己亥辛酉戊子|火水土水金金土水
丙午庚子己丑辛未|火火金水土土金土
癸亥癸亥乙亥乙酉|水水水水木水木金
乙巳辛巳壬子庚子|木火金火水水金水
丁未丁未乙未甲申|火土火土木土木金
戊寅癸亥己酉乙丑|土木水水土金木土
丙辰庚寅癸卯辛酉|火土金木水木金金
庚子甲申己丑庚午|金水木金土土金火
戊子甲子丙午甲午|土水木水火火木火
庚子甲申癸亥戊午|金水木金水水土火
壬辰丁未己丑甲戌|水土火土土土木土
辛巳庚子癸酉壬戌|金火金水水金水土
辛酉庚子甲申丁卯|金金金水木金火木
戊辰庚申丙戌戊戌|土土金金火土土土
乙酉己丑己丑丁卯|木金土土土土火木
辛巳丙申乙未丁丑|金火火金木土火土
丁卯壬子癸酉辛酉|火木水水水金金金
丁丑壬子丙子己亥|火土水水火水土水
辛亥丙申辛亥庚寅|金水火金金水金木
丙寅丙申甲辰丙寅|火木火金木土火木
乙卯己卯丁酉癸卯|木木土木火金水木
己酉辛未壬子癸卯|土金金土水水水木
丁卯己酉庚午丙子|火木土金金火火水
壬寅丁未戊午戊午|水木火土土火土火
乙巳戊寅丁丑丁未|木火土木火土火土
壬寅乙巳辛丑辛卯|水木木火金土金木
壬寅辛亥壬午乙巳|水木金水水火木火
丁巳癸丑丙辰丁酉|火火水土火土火金
丁酉壬子乙丑甲申|火金水水木土木金
甲辰壬申戊戌戊午|木土水金土土土火
丁卯甲辰癸卯壬戌|火木木土水木水土
庚午辛巳己卯辛未|金火金火土木金土
壬子庚戌丙戌庚寅|水水金土火土金木
丙辰辛卯乙卯丁丑|火土金木木木火土
戊辰庚申己酉甲戌|土土金金土金木土
庚戌甲申己丑戊辰|金土木金土土土土
辛巳甲午乙未戊寅|金火木火木土土木
甲辰丁卯癸酉甲寅|木土火木水金木木
戊午庚申戊申癸丑|土火金金土金水土
辛巳己亥丁卯己酉|金火土水火木土金
丙寅甲午辛卯丁酉|火木木火金木火金
丙寅庚子庚戌辛巳|火木金水金土金火
辛丑甲午乙亥戊寅|金土木火木水土木
丙子辛卯壬寅庚子|火水金木水木金水
庚子己丑壬申丁未|金水土土水金火土
壬子己酉癸亥辛酉|水水土金水水金金
庚午甲申辛巳辛卯|金火木金金火金木
丙戌癸巳壬辰丁未|火土水火水土火土
己酉丁卯庚午丙子|土金火木金火火水
庚午壬午辛未乙未|金火水火金土木土
戊辰丙辰辛亥辛卯|土土火土金水金木
癸丑庚申乙卯丁亥|水土金金木木火水
戊申乙丑甲子乙丑|土金木土木水木土
壬子丙午甲戌庚午|水水火火木土金火
庚子戊寅壬戌乙巳|金水土木水土木火
乙巳丁亥甲戌壬申|木火火水木土水金
壬申甲辰甲辰甲戌|水金木土木土木土
乙未己丑庚戌戊寅|木土土土金土土木
癸酉庚申癸丑戊午|水金金金水土土火
己酉辛未壬午戊申|土金金土水火土金
庚戌己丑戊子乙卯|金土土土土水木木
庚戌戊子丙戌癸巳|金土土水火土水火
庚午己卯庚寅戊寅|金火土木金木土木
丙戌辛卯丁亥丁未|火土金木火水火土
丁丑甲辰己卯壬申|火土木土土木水金
丁巳辛亥甲辰乙丑|火火金水木土木土
庚子辛巳壬寅庚戌|金水金火水木金土
庚寅丁亥壬子庚戌|金木火水水水金土
戊午戊午己丑戊辰|土火土火土土土土
己巳丁卯丙辰庚寅|土火火木火土金木
辛卯辛卯乙丑癸未|金木金木木土水土
甲子癸酉甲寅庚午|木水水金木木金火
甲子丙寅癸巳丁巳|木水火木水火火火
壬辰壬寅甲辰甲子|水土水木木土木水
己亥壬申戊寅甲寅|土水水金土木木木
庚戌乙酉丁酉辛亥|金土木金火金金水
丙子甲午丁卯癸卯|火水木火火木水木
丙戌辛卯癸亥丁巳|火土金木水水火火
丁未壬寅庚子壬午|火土水木金水水火
辛亥丁酉壬午癸卯|金水火金水火水木
乙卯乙酉甲午壬申|木木木金木火水金
癸丑乙丑丁丑庚戌|水土木土火土金土
甲申戊辰辛未丁酉|木金土土金土火金
己亥辛未丙寅丁酉|土水金土火木火金
戊子壬戌乙巳戊寅|土水水土木火土木
丁巳乙巳丁酉辛亥|火火木火火金金水
己卯辛未丙子庚寅|土木金土火水金木
丙戌辛卯戊申癸丑|火土金木土金水土
庚戌丁亥丙午丙申|金土火水火火火金
庚戌壬午戊子乙卯|金土水火土水木木
壬寅丁未辛巳庚寅|水木火土金火金木
丁卯癸卯丁卯辛丑|火木水木火木金土
戊午乙丑癸酉丙辰|土火木土水金火土
丁酉乙巳癸丑壬戌|火金木火水土水土
壬午戊申壬寅庚戌|水火土金水木金土
壬辰己酉癸亥壬子|水土土金水水水水
甲寅庚午乙未癸未|木木金火木土水土
庚午丁亥壬子甲辰|金火火水水水木土
丁巳壬寅戊申甲寅|火火水木土金木木
戊辰壬戌甲子甲戌|土土水土木水木土
庚寅丁亥丙子己亥|金木火水火水土水
戊辰癸亥丙寅辛卯|土土水水火木金木
乙卯丁亥甲子乙丑|木木火水木水木土
壬子壬子辛未辛卯|水水水水金土金木
丁亥丙午戊寅庚申|火水火火土木金金
庚寅辛巳戊申庚申|金木金火土金金金
己卯乙亥庚午己卯|土木木水金火土木
丁未癸卯庚寅癸未|火土水木金木水土
庚子戊子癸卯丙辰|金水土水水木火土
癸酉丙辰己未甲戌|水金火土土土木土
癸丑丙辰甲辰壬申|水土火土木土水金
庚申戊子甲午壬申|金金土水木火水金
壬戌癸卯癸亥壬子|水土水木水水水水
癸未丁巳己亥壬申|水土火火土水水金
辛亥丁酉己未戊辰|金水火金土土土土
乙未戊寅丁酉庚子|木土土木火金金水
壬午壬子丁酉己酉|水火水水火金土金
庚申乙酉丁酉乙巳|金金木金火金木火
癸丑甲子庚寅壬午|水土木水金木水火
癸酉甲子辛卯丁酉|水金木水金木火金
辛巳乙未癸巳丙辰|金火木土水火火土
己丑丙子庚辰丁丑|土土火水金土火土
戊寅乙丑癸丑丙辰|土木木土水土火土
丁卯壬寅丙辰丁酉|火木水木火土火金
戊辰己未己未戊辰|土土土土土土土土
己酉癸酉辛酉丙申|土金水金金金火金
壬子丙午壬申乙巳|水水火火水金木火
丁巳壬寅丁亥丙午|火火水木火水火火
己卯庚午己丑癸酉|土木金火土土水金
辛丑甲午癸丑乙卯|金土木火水土木木
甲午戊辰辛亥戊戌|木火土土金水土土
丁酉壬寅甲子壬申|火金水木木水水金
癸未壬戌戊午甲寅|水土水土土火木木
丙午辛丑丙戌乙未|火火金土火土木土
乙丑丙戌己丑癸酉|木土火土土土水金
乙丑癸未辛亥乙未|木土水土金水木土
癸未戊午丁未庚戌|水土土火火土金土
丙寅丙申丁亥辛丑|火木火金火水金土
戊申庚申己巳庚午|土金金金土火金火
癸未乙丑乙亥丁亥|水土木土木水火水
戊申甲寅乙丑己卯|土金木木木土土木
庚午己丑庚辰戊寅|金火土土金土土木
癸酉己未辛巳甲午|水金土土金火木火
丙午丁酉丙午己丑|火火火金火火土土
癸酉壬戌壬子壬寅|水金水土水水水木
己未丙寅癸丑壬子|土土火木水土水水
癸酉己未乙酉壬午|水金土土木金水火
癸巳甲寅辛酉己丑|水火木木金金土土
甲辰壬申癸卯丁巳|木土水金水木火火
甲戌丁卯癸巳壬子|木土火木水火水水
戊戌壬戌庚辰丙戌|土土水土金土火土
甲子壬申乙未壬午|木水水金木土水火
乙未癸未丁亥辛亥|木土水土火水金水
壬申壬子甲戌丁卯|水金水水木土火木
甲辰丙寅己未壬申|木土火木土土水金
庚午己卯己酉戊辰|金火土木土金土土
甲子癸酉乙酉丁亥|木水水金木金火水
壬寅甲辰丙辰戊戌|水木木土火土土土
壬戌庚戌丁巳戊申|水土金土火火土金
己酉丁卯己亥庚午|土金火木土水金火
壬子癸卯壬午丁未|水水水木水火火土
辛未丙申癸丑壬子|金土火金水土水水
甲寅戊辰丙子戊戌|木木土土火水土土
庚午丁亥丙戌戊戌|金火火水火土土土
辛卯己亥甲寅丙寅|金木土水木木火木
辛亥戊戌壬戌戊申|金水土土水土土金
乙卯戊子己巳戊辰|木木土水土火土土
乙巳甲申乙巳乙酉|木火木金木火木金
辛酉壬辰丁亥甲辰|金金水土火水木土
戊子甲子戊辰癸亥|土水木水土土水水
丙寅丁酉乙丑乙酉|火木火金木土木金
癸丑戊午己亥甲子|水土土火土水木水
丙戌辛卯乙未癸未|火土金木木土水土
乙未丙戌壬申乙巳|木土火土水金木火
辛酉辛丑丙申戊子|金金金土火金土水
甲寅甲戌庚午辛巳|木木木土金火金火
戊戌庚申庚申乙酉|土土金金金金木金
乙丑乙酉乙巳壬午|木土木金木火水火
辛亥庚子戊子甲寅|金水金水土水木木
癸巳丁巳丁卯辛丑|水火火火火木金土
丙午戊戌乙巳癸未|火火土土木火水土
壬戌壬子癸卯乙卯|水土水水水木木木
壬午壬寅乙未辛巳|水火水木木土金火
甲子丁卯丁酉丙午|木水火木火金火火
壬子乙巳丙午癸巳|水水木火火火水火
癸巳乙卯壬戌甲辰|水火木木水土木土
庚申庚辰辛酉己丑|金金金土金金土土
戊子丙辰癸未辛酉|土水火土水土金金
乙酉辛巳辛巳甲午|木金金火金火木火
戊子甲子庚午壬午|土水木水金火水火
丁卯丁未丁巳乙巳|火木火土火火木火
壬辰丁未庚寅戊寅|水土火土金木土木
己亥甲戌己巳己巳|土水木土土火土火
癸亥乙丑丁巳庚戌|水水木土火火金土
辛卯壬辰辛巳丁酉|金木水土金火火金
己卯庚午己丑甲戌|土木金火土土木土
癸酉辛酉乙卯壬午|水金金金木木水火
庚辰甲申丙申己亥|金土木金火金土水
庚戌戊子壬午丙午|金土土水水火火火
癸巳辛酉壬申癸卯|水火金金水金水木
庚戌己卯戊辰己未|金土土木土土土土
庚子壬午丙申戊戌|金水水火火金土土
丁巳乙巳戊寅丁巳|火火木火土木火火
癸亥乙卯癸丑丁巳|水水木木水土火火
丁未乙巳戊午癸亥|火土木火土火水水
丙辰辛丑辛卯戊子|火土金土金木土水
甲午丙寅甲辰壬申|木火火木木土水金
乙卯壬午癸亥戊午|木木水火水水土火
癸巳壬戌丁酉丁未|水火水土火金火土
乙亥辛巳戊戌壬子|木水金火土土水水
丁酉辛亥庚子丙戌|火金金水金水火土
丙午丁酉戊子丁巳|火火火金土水火火
壬戌丙午己酉辛未|水土火火土金金土
癸亥乙卯戊辰丙辰|水水木木土土火土
甲辰丁卯辛亥己亥|木土火木金水土水
丙戌己亥丙辰戊子|火土土水火土土水
丙午辛丑戊辰壬子|火火金土土土水水
乙酉丁亥庚子癸未|木金火水金水水土
甲子丁丑辛卯己亥|木水火土金木土水
己酉乙亥癸丑壬戌|土金木水水土水土
丙子丁酉庚戌丙戌|火水火金金土火土
癸酉丙辰甲申甲子|水金火土木金木水
癸丑甲子乙亥丙子|水土木水木水火水
丁卯癸卯癸丑癸亥|火木水木水土水水
甲寅癸酉辛亥甲午|木木水金金水木火
壬戌癸丑戊午戊午|水土水土土火土火
甲辰戊辰丙戌乙未|木土土土火土木土
